Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,10.71875,10.375,10.53125,10.59375,1455000.0,5.782102584838867
2000-01-04,10.5,9.96875,10.46875,10.0,1618200.0,5.458034515380859
2000-01-05,10.40625,10.03125,10.03125,10.375,1535600.0,5.662710666656494
2000-01-06,10.46875,9.90625,10.375,10.0625,2296600.0,5.492147922515869
2000-01-07,10.25,9.65625,9.9375,9.8125,2253000.0,5.3556952476501465
2000-01-10,10.125,9.84375,10.125,9.875,1169200.0,5.389808177947998
2000-01-11,10.0,9.78125,9.84375,9.9375,845400.0,5.42392110824585
2000-01-12,9.90625,9.5625,9.875,9.78125,1784000.0,5.338639259338379
2000-01-13,9.9375,9.6875,9.75,9.71875,1897600.0,5.304528713226318
2000-01-14,9.71875,9.375,9.65625,9.5,1986800.0,5.1851301193237305
2000-01-18,9.75,9.34375,9.5625,9.75,1356000.0,5.321582317352295
2000-01-19,10.0,9.6875,9.75,10.0,1086000.0,5.458034515380859
2000-01-20,10.0,9.53125,10.0,9.53125,1130400.0,5.202188014984131
2000-01-21,9.625,9.1875,9.625,9.1875,1141000.0,5.014567852020264
2000-01-24,9.25,8.75,9.25,8.9375,711400.0,4.878117561340332
2000-01-25,8.90625,8.5,8.875,8.8125,592200.0,4.809891223907471
2000-01-26,8.75,8.15625,8.75,8.34375,877400.0,4.554047107696533
2000-01-27,8.90625,8.375,8.40625,8.90625,1056800.0,4.8610615730285645
2000-01-28,9.125,8.5625,8.75,8.71875,1770800.0,4.758724212646484
2000-01-31,8.84375,8.65625,8.65625,8.71875,859400.0,4.758724212646484
2000-02-01,8.90625,8.59375,8.59375,8.71875,735600.0,4.758724212646484
2000-02-02,8.875,8.6875,8.71875,8.71875,1475200.0,4.758724212646484
2000-02-03,8.8125,8.65625,8.6875,8.75,1541000.0,4.775780200958252
2000-02-04,9.375,9.0,9.0,9.28125,1479400.0,5.065736293792725
2000-02-07,9.46875,9.1875,9.4375,9.1875,1530800.0,5.014567852020264
2000-02-08,9.21875,8.96875,9.1875,9.0,1079800.0,4.912230491638184
2000-02-09,9.15625,8.90625,9.0,8.96875,1466600.0,4.8951735496521
2000-02-10,9.03125,8.875,9.0,8.90625,1569000.0,4.8610615730285645
2000-02-11,9.09375,8.8125,8.84375,9.09375,1071400.0,4.963397026062012
2000-02-14,9.25,9.03125,9.03125,9.1875,757800.0,5.014567852020264
2000-02-15,9.34375,9.125,9.21875,9.15625,1684400.0,4.997511863708496
