Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,5.359375,5.015625,5.359375,5.0625,839600.0,3.629251718521118
2000-01-04,5.046875,4.84375,5.046875,4.890625,911200.0,3.506035327911377
2000-01-05,5.015625,4.828125,4.84375,4.84375,1540000.0,3.47243070602417
2000-01-06,5.265625,4.796875,4.8125,5.125,2677200.0,3.674055814743042
2000-01-07,5.28125,5.15625,5.171875,5.203125,1256800.0,3.730062484741211
2000-01-10,5.21875,5.0,5.21875,5.03125,1205200.0,3.6068477630615234
2000-01-11,5.1875,5.015625,5.015625,5.125,677600.0,3.674055814743042
2000-01-12,5.140625,5.046875,5.125,5.078125,589600.0,3.640451192855835
2000-01-13,5.15625,5.0625,5.09375,5.140625,1234400.0,3.685258626937866
2000-01-14,5.09375,4.859375,5.078125,4.984375,1082800.0,3.5732433795928955
2000-01-18,5.5625,5.046875,5.046875,5.46875,4741600.0,3.9204859733581543
2000-01-19,5.546875,5.34375,5.40625,5.515625,2240800.0,3.954092264175415
2000-01-20,5.546875,5.453125,5.53125,5.5,2066400.0,3.94288969039917
2000-01-21,5.796875,5.59375,5.59375,5.609375,1889200.0,4.021297931671143
2000-01-24,5.8125,5.359375,5.671875,5.359375,964400.0,3.8420777320861816
2000-01-25,5.421875,5.1875,5.359375,5.25,1358800.0,3.763667106628418
2000-01-26,5.375,5.1875,5.3125,5.1875,1199200.0,3.7188632488250732
2000-01-27,5.234375,5.03125,5.1875,5.125,1587600.0,3.674055814743042
2000-01-28,5.171875,4.984375,5.078125,5.0,1055200.0,3.584444999694824
2000-01-31,5.1875,5.0,5.046875,5.015625,1082800.0,3.5956461429595947
2000-02-01,5.359375,5.015625,5.0625,5.328125,2078400.0,3.819674491882324
2000-02-02,5.59375,5.28125,5.3125,5.28125,2538000.0,3.786069393157959
2000-02-03,5.65625,5.375,5.375,5.546875,2930800.0,3.976492404937744
2000-02-04,5.75,5.359375,5.5,5.359375,1830800.0,3.8420777320861816
2000-02-07,5.65625,5.359375,5.359375,5.578125,1367600.0,3.998896360397339
2000-02-08,5.671875,5.34375,5.59375,5.359375,1909200.0,3.8420777320861816
2000-02-09,5.40625,5.15625,5.34375,5.15625,1239600.0,3.696457862854004
2000-02-10,5.53125,5.140625,5.15625,5.515625,1200000.0,3.954092264175415
2000-02-11,5.609375,5.34375,5.515625,5.34375,1179200.0,3.858860969543457
2000-02-14,5.515625,5.375,5.390625,5.40625,738800.0,3.9039926528930664
2000-02-15,5.75,5.4375,5.4375,5.6875,1274400.0,4.107091903686523
2000-02-16,5.6875,5.59375,5.65625,5.65625,1619600.0,4.084524154663086
2000-02-17,5.859375,5.578125,5.703125,5.734375,2508400.0,4.1409406661987305
2000-02-18,5.75,5.4375,5.703125,5.546875,1489200.0,4.0055413246154785
2000-02-22,5.59375,5.359375,5.546875,5.4375,810000.0,3.926560163497925
2000-02-23,5.484375,5.203125,5.421875,5.296875,1131200.0,3.8250110149383545
2000-02-24,5.296875,5.203125,5.265625,5.234375,2065200.0,3.7798774242401123
