Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,100.0,87.0,99.625,89.65625,91334000.0,63.4370002746582
2000-01-04,87.65625,80.0,86.28125,81.03125,63567400.0,57.334327697753906
2000-01-05,81.625,69.5,79.9375,78.21875,93778400.0,55.34429931640625
2000-01-06,78.0,69.875,74.25,70.03125,58782600.0,49.551177978515625
2000-01-07,75.25,66.4609375,67.0,75.0,68198600.0,53.06684875488281
2000-01-10,81.5,76.25,81.0,79.6875,35360800.0,56.38352584838867
2000-01-11,78.9375,70.75,78.0,72.21875,30575800.0,51.09895706176758
2000-01-12,73.75,68.03125,72.5,69.125,34455600.0,48.90996170043945
2000-01-13,72.8125,68.8125,72.1875,71.5625,25146800.0,50.63463592529297
2000-01-14,74.46875,69.75,73.8125,70.21875,26209200.0,49.68382263183594
2000-01-18,70.625,67.5,68.71875,69.53125,28503000.0,49.197391510009766
2000-01-19,73.5,68.5,68.5625,73.3125,30728400.0,51.872867584228516
2000-01-20,78.0,73.5625,74.625,77.8125,39224000.0,55.056880950927734
2000-01-21,80.21875,75.5,79.125,77.46875,34955000.0,54.81364440917969
2000-01-24,78.5,69.8125,77.875,70.03125,32170600.0,49.551177978515625
2000-01-25,74.96875,70.0,71.8125,74.5,39671400.0,52.71308517456055
2000-01-26,65.4375,60.0,64.5,62.3125,136953200.0,44.08971405029297
2000-01-27,64.0,58.6875,63.34375,60.0,62571000.0,42.45346450805664
2000-01-28,60.6875,52.8125,60.53125,55.28125,85675000.0,39.11469650268555
2000-01-31,63.75,56.09375,56.3125,63.5,80518000.0,44.9299430847168
2000-02-01,70.0,65.4609375,65.75,68.03125,69648400.0,48.13605499267578
2000-02-02,72.75,68.0,68.4375,71.03125,57368200.0,50.25873565673828
2000-02-03,74.0,66.0,72.5625,69.59375,52571000.0,49.24161148071289
2000-02-04,70.9375,67.5,70.9375,68.71875,30028800.0,48.62250518798828
2000-02-07,67.625,65.125,67.21875,66.71875,20868400.0,47.2073974609375
2000-02-08,69.8125,66.71875,66.75,69.53125,21450800.0,49.197391510009766
2000-02-09,70.0,66.5,69.75,66.65625,20141200.0,47.16316223144531
2000-02-10,68.5625,66.5,67.28125,68.46875,15072200.0,48.44561004638672
2000-02-11,68.25,65.75,67.5390625,66.0,12419400.0,46.69882583618164
2000-02-14,65.0,62.5,64.6875,63.5625,23353600.0,44.97414779663086
2000-02-15,63.84375,60.03125,62.1796875,63.3125,30036000.0,44.797264099121094
2000-02-16,65.75,60.5,62.6875,60.9375,30052000.0,43.116817474365234
2000-02-17,65.5,61.0,62.5625,65.0,34971600.0,45.991268157958984
2000-02-18,69.375,65.875,66.0078125,67.25,42991600.0,47.583282470703125
2000-02-22,67.875,63.125,66.25,65.28125,24472000.0,46.19027328491211
2000-02-23,73.75,65.375,66.6875,73.4375,52349200.0,51.9613037109375
2000-02-24,71.125,67.5,68.4375,69.84375,51715400.0,49.41851806640625
2000-02-25,71.0,66.6875,68.125,66.78125,23405600.0,47.251609802246094
2000-02-28,73.75,68.75,68.75,71.625,36400800.0,50.6788330078125
2000-02-29,74.0,69.125,73.0,71.21875,31323400.0,50.39140319824219
2000-03-01,70.65625,68.265625,70.25,69.5,20865400.0,49.17529296875
2000-03-02,69.5625,66.0,69.4375,66.09375,20560800.0,46.76517105102539
2000-03-03,67.5,63.0,65.5,65.9375,33932600.0,46.65461349487305
2000-03-06,69.0,64.0,64.75,66.625,23576200.0,47.14105224609375
2000-03-07,67.375,63.75,67.25,64.0,21447000.0,45.283714294433594
2000-03-08,65.8125,62.4921875,65.3125,64.5625,22876000.0,45.68169403076172
2000-03-09,64.625,62.375,63.59375,63.5,17427800.0,44.9299430847168
2000-03-10,72.75,61.0,62.59375,68.0625,83012800.0,48.15815734863281
2000-03-13,68.0,63.5625,64.1875,65.09375,35140400.0,46.0576171875
2000-03-14,67.0,62.5,66.0625,62.5625,24239800.0,44.2665901184082
2000-03-15,66.5,62.75,63.0,64.0,31392000.0,45.283714294433594
2000-03-16,67.0,63.25,65.21875,66.4375,23705600.0,47.00838088989258
2000-03-17,68.75,66.3125,66.375,68.125,31121600.0,48.202388763427734
2000-03-20,67.96875,64.0,67.15625,64.8125,18187800.0,45.858604431152344
2000-03-21,67.5,62.875,63.875,67.3125,18525200.0,47.627506256103516
2000-03-22,67.875,65.25,66.84375,67.4375,19331800.0,47.715946197509766
2000-03-23,72.3125,66.125,66.28125,72.0625,42424400.0,50.988407135009766
2000-03-24,76.2109375,71.1875,71.75,73.0,50165800.0,51.651737213134766
