Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,19.1875,17.625,18.5625,18.0,233800.0,17.947154998779297
2000-01-04,18.125,16.5,17.9375,17.75,195500.0,17.697887420654297
2000-01-05,17.0,16.5,16.625,17.0,166700.0,16.950090408325195
2000-01-06,17.0,16.6875,16.875,16.9375,410900.0,16.887773513793945
2000-01-07,18.5625,16.75,16.8125,18.375,508600.0,18.32105255126953
2000-01-10,22.625,21.0,21.875,22.0,1448400.0,21.93541145324707
2000-01-11,27.125,22.25,22.71875,25.875,713300.0,25.799034118652344
2000-01-12,27.8125,22.5,27.5,22.75,433600.0,22.683210372924805
2000-01-13,26.5,23.0,24.125,25.4375,150300.0,25.362817764282227
2000-01-14,26.5,24.0,25.46875,25.0625,124900.0,24.988920211791992
2000-01-18,27.9375,23.125,23.25,27.9375,270800.0,27.855478286743164
2000-01-19,27.9375,26.125,27.9375,26.875,114300.0,26.796098709106445
2000-01-20,27.0,26.25,26.375,26.875,276100.0,26.796098709106445
2000-01-21,27.5,26.5,27.25,26.875,539600.0,26.796098709106445
2000-01-24,29.9375,26.5,26.875,28.375,165500.0,28.29169464111328
2000-01-25,31.375,28.4375,28.4375,30.5,226400.0,30.41045570373535
2000-01-26,34.0,30.5625,31.5625,31.5,244600.0,31.407520294189453
2000-01-27,32.25,27.875,32.0,28.9375,289100.0,28.852542877197266
2000-01-28,30.375,26.75,26.875,30.25,3695000.0,30.161190032958984
2000-01-31,30.75,28.75,29.75,30.3125,972000.0,30.2235050201416
2000-02-01,33.75,31.0,31.96875,33.125,675100.0,33.027748107910156
2000-02-02,34.0,32.625,33.9375,34.0,974600.0,33.90018081665039
2000-02-03,35.0,34.0,34.0625,35.0,889800.0,34.89724349975586
2000-02-04,35.0,33.75,35.0,34.5,465100.0,34.398712158203125
2000-02-07,36.5,34.75,34.75,35.375,770400.0,35.27114486694336
2000-02-08,35.5,33.375,35.5,34.625,176200.0,34.523345947265625
2000-02-09,34.625,31.25,34.3125,33.75,660500.0,33.65091323852539
2000-02-10,35.75,33.625,33.875,34.75,333700.0,34.64797592163086
2000-02-11,35.375,34.75,35.25,34.875,650300.0,34.772613525390625
2000-02-14,35.703125,34.125,35.25,34.875,253000.0,34.772613525390625
2000-02-15,35.0625,33.6875,35.0,35.0625,183000.0,34.95956039428711
2000-02-16,35.125,32.4375,35.125,34.125,99000.0,34.024810791015625
2000-02-17,33.9375,31.5,33.0,31.625,425900.0,31.532154083251953
2000-02-18,31.8125,27.75,31.78125,27.75,387000.0,27.668529510498047
2000-02-22,31.0,29.375,30.0,30.125,832800.0,30.036558151245117
2000-02-23,31.5,30.0,30.3125,30.875,691500.0,30.78435516357422
2000-02-24,33.375,32.25,33.0,33.25,437000.0,33.152381896972656
2000-02-25,36.375,34.0625,34.125,36.0,698400.0,35.894309997558594
2000-02-28,36.5,35.25,36.5,36.0,621000.0,35.894309997558594
2000-02-29,41.375,36.5,36.8125,40.5,422200.0,40.381099700927734
2000-03-01,45.875,41.0,41.0,43.375,321400.0,43.24765396118164
2000-03-02,43.875,42.75,43.25,42.875,402100.0,42.749122619628906
2000-03-03,45.0,42.875,43.5,44.125,195400.0,43.99545669555664
2000-03-06,44.25,42.375,44.25,43.25,222400.0,43.123023986816406
2000-03-07,45.0,43.0,43.8125,44.75,235100.0,44.61861801147461
2000-03-08,52.0,44.5,45.125,48.125,418000.0,47.98371124267578
2000-03-09,50.0,47.25,49.375,47.375,349400.0,47.23591232299805
2000-03-10,52.0,47.25,48.0,49.625,477600.0,49.47930908203125
2000-03-13,54.75,49.0,49.5,53.75,289600.0,53.59219741821289
2000-03-14,54.75,51.875,54.625,52.5,487300.0,52.345863342285156
2000-03-15,52.9375,47.75,52.5625,48.9375,378000.0,48.7938232421875
2000-03-16,50.0,42.625,49.375,45.375,351800.0,45.241783142089844
2000-03-17,50.625,45.125,45.25,50.0625,770400.0,49.915523529052734
2000-03-20,51.25,49.25,50.1875,49.25,468700.0,49.10540771484375
2000-03-21,49.3125,47.0,49.25,47.1875,241400.0,47.04896545410156
2000-03-22,49.0,47.125,47.25,48.0625,441800.0,47.92139434814453
2000-03-23,49.625,48.25,49.0,48.625,306500.0,48.482242584228516
2000-03-24,48.984375,45.125,48.5,46.25,222100.0,46.11421585083008
2000-03-27,49.1875,45.5,45.5,49.0625,685700.0,48.918460845947266
2000-03-28,50.5,48.25,49.6875,48.9375,259800.0,48.7938232421875
2000-03-29,49.25,45.25,49.0,45.5,224700.0,45.36642074584961
2000-03-30,45.3125,36.25,45.125,40.0,451200.0,39.882564544677734
2000-03-31,44.5,40.25,40.25,44.0,310400.0,43.87082290649414
2000-04-03,45.0,41.5,44.125,41.5,244100.0,41.3781623840332
2000-04-04,42.375,31.5,41.6875,38.625,680300.0,38.511600494384766
2000-04-05,41.375,36.5,37.0,39.75,427100.0,39.633296966552734
2000-04-06,43.0,40.75,40.9375,42.6875,227500.0,42.56217575073242
2000-04-07,45.125,42.75,43.0,45.125,158400.0,44.99251937866211
